source,sensor,satellite,product_version,latitude,longitude,acquired_at_utc,date_utc,daynight,confidence_raw,frp_raw,scan_raw,track_raw,grid_x,grid_y,cell_id,source_file
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.51311,-115.10508,2023-07-12T08:24:00Z,2023-07-12,N,n,6.57,0.78,0.78,-1023,428,-1023_428,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.51333,-115.11377,2023-07-12T08:24:00Z,2023-07-12,N,n,6.57,0.78,0.78,-1023,428,-1023_428,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,40.82139,-114.25598,2023-07-12T10:02:00Z,2023-07-12,N,n,2.4,0.41,0.45,-1015,521,-1015_521,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,39.62089,-119.26271,2023-07-12T10:02:00Z,2023-07-12,N,n,1.44,0.42,0.37,-1060,508,-1060_508,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,40.73525,-122.32384,2023-07-12T10:02:00Z,2023-07-12,N,n,0.65,0.39,0.36,-1087,520,-1087_520,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.51276,-115.10869,2023-07-12T10:04:00Z,2023-07-12,N,n,3.19,0.57,0.52,-1023,428,-1023_428,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.29615,-116.31342,2023-07-12T10:04:00Z,2023-07-12,N,n,2.86,0.49,0.49,-1033,426,-1033_426,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.29725,-116.31847,2023-07-12T10:04:00Z,2023-07-12,N,n,2.27,0.49,0.49,-1033,426,-1033_426,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.29923,-116.31612,2023-07-12T10:04:00Z,2023-07-12,N,n,4.12,0.49,0.49,-1033,426,-1033_426,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.27176,-116.37299,2023-07-12T10:04:00Z,2023-07-12,N,n,1.29,0.49,0.49,-1034,425,-1034_425,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.27609,-116.37148,2023-07-12T10:04:00Z,2023-07-12,N,n,1.17,0.49,0.49,-1034,425,-1034_425,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.55661,-116.50179,2023-07-12T10:04:00Z,2023-07-12,N,n,1.02,0.48,0.48,-1035,429,-1035_429,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.49298,-116.79979,2023-07-12T10:04:00Z,2023-07-12,N,n,1.95,0.46,0.47,-1038,428,-1038_428,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,32.49725,-116.79857,2023-07-12T10:04:00Z,2023-07-12,N,n,0.97,0.46,0.47,-1038,428,-1038_428,VIIRS_SNPP_NRT_2023-07-12_1.csv
VIIRS_SNPP_NRT,VIIRS,N,2.0NRT,34.35262,-116.85373,2023-07-12T10:04:00Z,2023-07-12,N,n,1.34,0.42,0.45,-1038,450,-1038_450,VIIRS_SNPP_NRT_2023-07-12_1.csv
