latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
32.51311,-115.10508,307.12,0.78,0.78,2023-07-12,824,N,VIIRS,n,2.0NRT,290.7,6.57,N
32.51333,-115.11377,343.17,0.78,0.78,2023-07-12,824,N,VIIRS,n,2.0NRT,291.23,6.57,N
39.62089,-119.26271,305.09,0.42,0.37,2023-07-12,1002,N,VIIRS,n,2.0NRT,290.6,1.44,N
40.73525,-122.32384,307.65,0.39,0.36,2023-07-12,1002,N,VIIRS,n,2.0NRT,292.94,0.65,N
40.82139,-114.25598,316.93,0.41,0.45,2023-07-12,1002,N,VIIRS,n,2.0NRT,291.65,2.4,N
32.27176,-116.37299,302.5,0.49,0.49,2023-07-12,1004,N,VIIRS,n,2.0NRT,291.24,1.29,N
32.27609,-116.37148,301.88,0.49,0.49,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.94,1.17,N
32.29615,-116.31342,319.17,0.49,0.49,2023-07-12,1004,N,VIIRS,n,2.0NRT,291.29,2.86,N
32.29725,-116.31847,305.32,0.49,0.49,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.77,2.27,N
32.29923,-116.31612,332.12,0.49,0.49,2023-07-12,1004,N,VIIRS,n,2.0NRT,291.19,4.12,N
32.49298,-116.79979,319.81,0.46,0.47,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.57,1.95,N
32.49725,-116.79857,303.25,0.46,0.47,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.77,0.97,N
32.51276,-115.10869,320.84,0.57,0.52,2023-07-12,1004,N,VIIRS,n,2.0NRT,293.91,3.19,N
32.55661,-116.50179,304.96,0.48,0.48,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.73,1.02,N
32.59871,-117.01244,303.52,0.45,0.47,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.11,0.85,N
32.85626,-117.14725,302.22,0.43,0.46,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.03,0.15,N
33.43157,-117.4058,309.77,0.41,0.45,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.88,0.55,N
33.43246,-117.41001,320.73,0.41,0.45,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.52,2.96,N
33.43648,-117.4087,302.85,0.41,0.45,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.8,0.34,N
33.43679,-117.43046,305.83,0.41,0.45,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.81,0.79,N
33.61237,-117.82366,305.84,0.39,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,287.98,0.67,N
33.71592,-117.71153,310.57,0.39,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.28,0.96,N
33.79353,-117.4776,307.25,0.4,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.68,0.74,N
33.85216,-118.33292,303.77,0.54,0.42,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.99,1.24,N
34.14304,-117.42729,306.41,0.4,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,291.14,0.14,N
34.15349,-118.19503,315.8,0.54,0.42,2023-07-12,1004,N,VIIRS,n,2.0NRT,290.25,1.79,N
34.29101,-118.80173,307.59,0.51,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.74,1.13,N
34.32021,-118.51429,302.85,0.52,0.42,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.22,0.37,N
34.32256,-118.52598,303.56,0.52,0.42,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.99,0.58,N
34.33381,-118.52254,312.91,0.52,0.42,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.32,0.99,N
34.35262,-116.85373,307.79,0.42,0.45,2023-07-12,1004,N,VIIRS,n,2.0NRT,293.34,1.34,N
34.42834,-118.64473,298.68,0.51,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,287.82,0.96,N
34.42939,-118.64551,305.86,0.51,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.21,1.23,N
34.52329,-118.58819,299.59,0.51,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,288.83,0.43,N
34.5239,-118.58909,301.09,0.51,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.22,1.33,N
34.60705,-117.33797,320.94,0.39,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,293.99,2.28,N
34.62059,-117.10072,317.51,0.4,0.44,2023-07-12,1004,N,VIIRS,n,2.0NRT,294.69,2.32,N
34.81858,-118.75069,301.77,0.5,0.41,2023-07-12,1004,N,VIIRS,n,2.0NRT,291.02,0.43,N
35.57982,-119.64861,310.53,0.45,0.39,2023-07-12,1004,N,VIIRS,n,2.0NRT,292.52,1.26,N
36.87922,-119.21698,304.64,0.45,0.39,2023-07-12,1004,N,VIIRS,n,2.0NRT,294.06,0.65,N
37.1856,-121.6812,300.24,0.39,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,287.16,0.59,N
37.21149,-121.90041,303.39,0.39,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,286.47,0.39,N
37.45507,-121.93218,309.65,0.39,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,287.78,0.52,N
37.75483,-121.66132,303.18,0.39,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.03,0.55,N
